Tank Name,Tank DPM,Dmg,Reload,Pen,Velo,Acc,Aim,Dispresion,DeP/Elev,Speed,Traverse,Power,P/W,Weight,Health,VR,Stat17,Stat18,Stat19,Stat20,Stat21
T28 Prototype,,,VIII,T28,,2637,400,9.10s,248,945,0.38,2.10s,0.08 / 0.19 / 0.19,-5° / +20°,22 / 10,24°/s,780,13.07,59.7t,1600,360
T-70,,,VIII,BZT-70,,2429,850,21.00s,256,800,0.45,3.00s,0.15 / 0.23 / 0.23,-8° / +20°,28 / 10,20°/s,1200,11.46,104.7t,2300,380
Löwe FL,,,VIII,Löwe,,1600,320,12.00s,234,1150,0.33,2.86s,0.12 / 0.20 / 0.20,-10° / +38°,35 / 15,24°/s,1000,11.15,89.7t,1650,400
TS-6,,,IX,TS-60,,2791,400,8.60s,258,1150,0.40,1.70s,0.06 / 0.25 / 0.25,-7° / +20°,35 / 12,28°/s,800,14.62,54.7t,1900,380
Caernarvon,,,VIII,Caernarvon,,2585,280,6.50s,220,878,0.34,2.10s,0.12 / 0.16 / 0.16,-10° / +18°,34.3 / 12,30°/s,900,14.65,61.4t,1750,400
CS-59,,,IX,CS-59,,2659,390,8.80s,252,1050,0.38,2.50s,0.10 / 0.15 / 0.15,-9° / +20°,50 / 18,45°/s,700,18.13,38.6t,1850,390
T-60,,,VIII,AAT60,,2207,320,8.70s,230,1150,0.35,2.00s,0.10 / 0.12 / 0.12,-10° / +20°,44 / 22,40°/s,750,17.55,42.7t,1400,390
AC 1 Sentinel,,,IX,Sentinelle,,1702,390,25.00s,261,1040,0.35,2.30s,0.08 / 0.17 / 0.17,-8° / +20°,45 / 15,35°/s,1050,17.59,59.7t,1800,390
Waffenträger auf Pz. IV,,,IX,WT auf Pz. IV,,2647,750,17.00s,246,757,0.38,2.50s,0.16 / 0.20 / 0.20,-5° / +24°,38 / 12,42°/s,440,17.58,25t,1600,370
ST-62 Version 2,,,X,ST-62 Ver. 2,,2400,320,8.00s,260,1320,0.37,2.30s,0.10 / 0.14 / 0.14,-6° / +20°,50 / 20,55°/s,700,18.57,37.7t,1950,390
FSV Scheme A,,,VII,FSV Sch. A,,1915,150,4.70s,185,930,0.33,1.80s,0.06 / 0.12 / 0.12,-5° / +15°,60 / 30,30°/s,220,25.21,8.7t,1100,370
BT-7 artillery,,,III,BT-7 art.,,2050,164,4.80s,38,381,0.60,2.40s,0.18 / 0.22 / 0.22,-5° / +25°,51.6 / 20,46°/s,500,37.59,13.3t,390,290
"8,8 cm Pak 43 Jagdtiger",,,IX,Jagdtiger,,2947,560,11.40s,276,1200,0.33,2.30s,0.08 / 0.18 / 0.18,-7.5° / +15°,38 / 12,30°/s,830,11.04,75.2t,2000,390
KJPZ TIII Jäger,,,IX,TIII Jäger,,2700,450,10.00s,268,1210,0.28,1.60s,0.06 / 0.20 / 0.20,-7° / +12°,45 / 18,40°/s,900,18.17,49.5t,1700,370
Rheinmetall Skorpion G,,,VIII,Skorpion,,2410,490,12.20s,246,920,0.30,2.10s,0.16 / 0.26 / 0.26,-7° / +14°,60 / 20,30°/s,650,17.13,38t,1150,360
TL-7,,,IX,TL-7,,1731,360,43.00s,252,1060,0.40,2.60s,0.12 / 0.28 / 0.28,-10° / +15°,50 / 15,30°/s,480,17.31,27.7t,1500,370
TOG II*,,,VI,TOG II*,,1800,150,5.00s,171,884,0.36,2.30s,0.20 / 0.22 / 0.22,-10° / +20°,14 / 7,20°/s,600,7.41,81t,1560,360
M4A1 Sherman,,,V,M4 Sherman,,2733,410,9.00s,53,472,0.55,2.50s,0.16 / 0.18 / 0.18,-12° / +25°,48 / 18,50°/s,500,16.20,30.9t,650,370
Pz.Kpfw. 35 (t),No data
M24E2 Super Chaffee,,,V,Chaffee,,1683,115,4.10s,118,890,0.39,1.60s,0.08 / 0.13 / 0.13,-10° / +15°,65 / 21,42°/s,500,27.56,18.1t,610,360
Valentine,,,IV,Valentine AT,,2143,75,2.10s,110,892,0.35,1.50s,0.08 / 0.22 / 0.22,-5° / +15°,24 / 12,50°/s,185,12.55,14.7t,410,330
MBT-B,,,X,MBT-B,,2692,400,45.00s,260,960,0.35,2.70s,0.06 / 0.25 / 0.25,-10° / +20°,50 / 15,40°/s,740,16.55,44.7t,2000,400
Pz.Kpfw. IV Ausf. D,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
T1 HMC,,,V,T1,,1917,115,3.60s,128,792,0.43,2.00s,0.12 / 0.22 / 0.22,-10° / +30°,35 / 14,36°/s,900,15.42,58.4t,910,350
GSOR the TANK,No data
Chi-To SP,,,VI,Chi-To,,2053,130,3.80s,155,821,0.36,2.10s,0.10 / 0.20 / 0.20,-10° / +20°,45 / 18,43°/s,480,14.79,32.5t,950,360
O-Ni,,,VI,Phönix,,2545,560,58.00s,276,1200,0.29,1.50s,0.25 / 0.20 / 0.20,-5° / +15°,40 / 15,26°/s,1200,12.04,99.7t,2000,380
Type 64,,,IX,Type 61,,2634,360,8.20s,258,1185,0.38,2.10s,0.10 / 0.10 / 0.10,-10° / +13°,45 / 23,55°/s,770,22.19,34.7t,1800,400
Felice,,,IX,Felice,,1946,480,14.80s,256,1215,0.42,2.50s,0.04 / 0.24 / 0.24,-8° / +20°,45 / 15,40°/s,900,15.08,59.7t,1600,380
IS-6 B,,,VIII,IS-6,,2000,390,11.70s,196,790,0.44,2.80s,0.12 / 0.23 / 0.23,-6° / +20°,35 / 14,26°/s,700,13.67,51.2t,1550,350
T82 HMC,,,IV,T82 HMC,,1892,410,13.00s,27,410,0.78,5.00s,0.44 / 0.30 / 0.30,-7° / +27°,64 / 12,29°/s,296,20.56,14.4t,200,255
BZ-72-1,,,X,BZ-72-1,,2240,560,15.00s,260,1000,0.40,2.50s,0.10 / 0.20 / 0.20,-8° / +20°,30 / 15,34°/s,900,16.76,53.7t,2200,400
IS,,,X,Tortoise,,3380,400,7.10s,259,1067,0.31,1.70s,0.06 / 0.26 / 0.26,-10° / +20°,20 / 10,22°/s,810,10.58,76.6t,1850,390
T110E5 CL,,,X,T110E5,,2727,400,8.80s,258,1067,0.35,2.00s,0.06 / 0.14 / 0.14,-8° / +15°,37 / 12,30°/s,875,16.37,53.5t,2200,400
Light Mk. VIC,,,II,G.Pz. Mk. VI,,911,410,27.00s,27,380,0.84,6.50s,0.60 / 0.58 / 0.58,-3° / +42°,50 / 12,18°/s,88,13.97,6.3t,180,250
Jagdpanzer 38(t) Hetzer,,,IV,Hetzer,,2143,350,9.80s,64,470,0.53,2.30s,0.08 / 0.23 / 0.23,-7° / +15°,42 / 11,30°/s,220,13.12,16.8t,415,260
MTLS-1G14,,,III,MTLS-1G14,,941,40,4.60s,68,782,0.42,1.50s,0.12 / 0.22 / 0.22,-11.88° / +22.32°,55 / 20,40°/s,500,26.59,18.8t,410,280
Centurion Mk. I,,,X,Centurion AX,,2925,390,8.00s,268,1478,0.32,2.10s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 20,50°/s,1040,19.01,54.7t,1950,410
Stitch,,,VIII,Stitch,,2200,330,9.00s,220,1000,0.37,2.20s,0.08 / 0.13 / 0.13,-13° / +20°,40 / 14,36°/s,940,17.18,54.7t,1550,390
Lorraine 155 mle. 50,,,IX,E 50,,2438,390,9.60s,230,1200,0.30,2.10s,0.08 / 0.14 / 0.14,-8° / +20°,60 / 20,44°/s,1000,16.05,62.3t,1800,400
Object 590,,,IX,Obj. 590,,2259,320,8.50s,238,1480,0.38,2.70s,0.10 / 0.20 / 0.20,-6° / +23°,52 / 20,44°/s,700,17.59,39.8t,1800,380
M3 Lee,,,IV,M3 Lee,,2200,110,3.00s,92,619,0.41,2.10s,0.16 / 0.22 / 0.22,-9° / +20°,38 / 16,43°/s,440,15.74,27.9t,475,320
Centurion St. Gloriana,,,X,Centurion AX,,2925,390,8.00s,268,1478,0.32,2.10s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 20,50°/s,1040,19.01,54.7t,1950,410
STA-2,,,VIII,STA-2,,1920,240,7.50s,212,1147,0.35,1.90s,0.10 / 0.16 / 0.16,-10° / +13°,55 / 23,44°/s,650,19.27,33.7t,1420,400
T-44-100 Igrovoy,,,VIII,T-44-100,,2308,250,6.50s,210,880,0.35,2.00s,0.08 / 0.10 / 0.10,-7° / +23°,52 / 23,51°/s,760,22.87,33.2t,1350,380
Type 2597 Chi-Ha,,,VII,E 25,,2700,135,3.00s,150,925,0.30,1.50s,0.08 / 0.18 / 0.18,-8° / +15°,65 / 20,44°/s,700,26.90,26t,830,360
WZ-132A,,,X,WZ-132-1,,2489,390,9.40s,246,1200,0.38,1.80s,0.06 / 0.12 / 0.12,-5° / +20°,70 / 23,60°/s,1080,36.36,29.7t,1700,400
Excelsior,,,X,Excelsior,,1737,110,3.80s,91,619,0.42,2.30s,0.16 / 0.28 / 0.28,-13° / +20°,38.6 / 12,32°/s,600,14.71,40.8t,880,350
Kanonenjagdpanzer 2,No data
Pz.Kpfw. II Ausf. J,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
Bat.-Châtillon 25 t AP,,,IX,B-C 25 t AP,,2121,360,40.00s,242,1000,0.35,2.10s,0.10 / 0.16 / 0.16,-6° / +13°,65 / 20,44°/s,575,21.93,26.2t,1700,390
Sturmpanzer I Bison,,,VII,IS,,1902,390,12.30s,175,780,0.46,3.40s,0.16 / 0.21 / 0.21,-6° / +25°,34 / 14,42°/s,750,16.32,46t,1350,350
Alembic,,,VIII,Alembic,,1920,320,34.00s,190,945,0.43,2.00s,0.10 / 0.18 / 0.13,-10° / +15°,52 / 30,60°/s,450,14.65,30.7t,1300,390
Cruiser Mk. II,,,VII,IS,,1902,390,12.30s,175,780,0.46,3.40s,0.16 / 0.21 / 0.21,-6° / +25°,34 / 14,42°/s,750,16.32,46t,1350,350
LTP,,,III,LTP,,1175,47,2.40s,51,757,0.46,2.10s,0.16 / 0.26 / 0.26,-8° / +20°,45.1 / 18,52°/s,170,15.74,10.8t,410,310
Heavy Tank No. VI,No data
Vickers 6 ton,,,X,Vickers 3,,2925,390,8.00s,268,1540,0.27,2.00s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 25,50°/s,850,22.14,38.4t,1900,410
Pz.Kpfw. VII,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
M41,,,VIII,M41D,,2217,170,4.60s,192,1257,0.35,1.50s,0.04 / 0.10 / 0.10,-9° / +19°,68 / 24,54°/s,780,31.55,24.7t,1100,410
Churchill St. Gloriana,,,V,Churchill I,,2045,75,2.20s,110,892,0.37,1.70s,0.08 / 0.18 / 0.18,-9° / +20°,25.7 / 14,28°/s,380,9.59,39.6t,920,350
StuG III Ausf. B,,,IV,StuG III B,,2333,350,9.00s,92,376,0.55,2.00s,0.08 / 0.20 / 0.20,-6° / +20°,40 / 14,40°/s,480,20.79,23.1t,400,310
T-103,,,VIII,T-103,,2357,440,11.20s,258,870,0.36,2.30s,0.16 / 0.23 / 0.23,-8° / +30°,40 / 12,30°/s,900,14.35,62.7t,1250,380
M-II-Y,,,VIII,M-III-Y,,2157,320,8.90s,215,900,0.37,2.00s,0.13 / 0.20 / 0.20,-10° / +20°,40 / 17,33°/s,675,15.10,44.7t,1650,390
Vz. 60S Dravec,,,X,Dravec,,2455,450,11.00s,264,970,0.33,2.00s,0.12 / 0.17 / 0.17,-8° / +20°,45 / 15,35°/s,1000,17.33,57.7t,2200,390
Bat.-Châtillon 25 t,No data
T-34-85,,,V,T-34,,2217,85,2.30s,112,990,0.34,2.30s,0.16 / 0.25 / 0.25,-8° / +20°,56 / 20,45°/s,550,19.31,28.5t,650,350
BDR G1 B,,,V,BDR G1 B,,1385,240,10.40s,135,800,0.38,2.70s,0.13 / 0.28 / 0.28,-8° / +17°,30 / 10,34°/s,500,13.35,37.5t,920,330
T-100 LT,,,X,T-100 LT,,2308,300,7.80s,230,1200,0.46,2.00s,0.05 / 0.06 / 0.06,-5° / +15°,72 / 25,56°/s,720,48.98,14.7t,1700,390
Valentine AT,,,IV,Valentine AT,,2143,75,2.10s,110,892,0.35,1.50s,0.08 / 0.22 / 0.22,-5° / +15°,24 / 12,50°/s,185,12.55,14.7t,410,330
Strv m/42,,,IX,Strv K,,1950,390,12.00s,252,1080,0.34,2.50s,0.15 / 0.19 / 0.19,-10° / +18°,40 / 18,30°/s,670,16.49,40.6t,1850,400
TITT Rozanov,,,IX,TITT,,2308,200,5.20s,212,1100,0.34,2.00s,0.12 / 0.18 / 0.18,-6° / +20°,42 / 16,30°/s,520,13.09,39.7t,1300,380
M5 Stuart,,,IV,M5 Stuart,,1546,50,7.70s,71,884,0.38,1.70s,0.10 / 0.15 / 0.15,-10° / +20°,64.4 / 20,50°/s,400,26.67,15t,520,360
T-50,,,X,TVP T 50/51,,2603,320,25.00s,248,1400,0.35,2.10s,0.10 / 0.18 / 0.18,-8° / +20°,60 / 20,54°/s,1120,28.21,39.7t,1850,410
Type 57,,,X,Type 95,,2000,110,3.30s,71,453,0.40,2.30s,0.10 / 0.18 / 0.18,-12° / +20°,22 / 10,30°/s,290,10.01,29t,670,340
Kunze Panzer,,,IX,Kunze Panzer,,2516,390,9.30s,268,1478,0.42,2.70s,0.08 / 0.15 / 0.15,-10° / +15°,65 / 23,42°/s,610,22.02,27.7t,1600,400
Valentine II,,,IX,Kunze Panzer,,2143,75,2.10s,110,892,0.35,1.50s,0.08 / 0.22 / 0.22,-5° / +15°,24 / 12,50°/s,185,12.55,14.7t,410,330
T-26G FT,,,IV,60G FT,,2105,200,5.70s,145,793,0.38,1.70s,0.08 / 0.22 / 0.22,-8° / +25°,45 / 18,42°/s,450,17.48,25.8t,520,340
Grant,,,V,Grant,,2200,110,3.00s,92,619,0.41,2.10s,0.16 / 0.22 / 0.22,-9° / +20°,39 / 16,42°/s,410,13.79,29.7t,490,325
4TP,,,IV,Grant,,1579,50,6.40s,75,829,0.39,2.40s,0.16 / 0.22 / 0.22,-8° / +20°,55 / 20,52°/s,300,20.80,14.4t,550,330
Type 4 Chi-To,,,IV,Type 4 H,,2105,600,17.10s,257,850,0.40,2.70s,0.14 / 0.18 / 0.18,-10° / +20°,25 / 12,20°/s,1500,9.36,160.2t,2150,390
SU-100,,,IX,SU-100M1,,2113,250,7.10s,212,880,0.41,2.30s,0.10 / 0.14 / 0.14,-4° / +20°,54 / 16,25°/s,520,16.39,31.7t,900,350
T95/FV4201 Chieftain,,,X,Chieftain,,2909,400,8.25s,270,1372,0.32,1.50s,0.10 / 0.12 / 0.12,-10° / +20°,42 / 15,40°/s,750,13.71,54.7t,2200,390
Type 91 Heavy,,,X,Chieftain,,2727,400,8.80s,260,1050,0.22,2.00s,0.10 / 0.14 / 0.14,-7° / +20°,40 / 16,30°/s,1050,17.59,59.7t,2200,400
SU-14-1,,,X,SU-101,,2095,440,12.60s,258,850,0.42,2.50s,0.12 / 0.12 / 0.12,-3° / +18.3°,54 / 18,25°/s,620,17.78,34.9t,1300,360
T7 Combat Car,,,VIII,T7 Car,,818,8,24.00s,27,895,0.53,1.70s,0.10 / 0.26 / 0.26,-15° / +40°,56 / 20,44°/s,262,26.85,9.8t,300,280
Alecto,,,II,Alecto,,1895,180,5.70s,71,472,0.46,2.10s,0.12 / 0.24 / 0.24,-5° / +25°,50.5 / 16,42°/s,180,22.88,7.9t,415,330
SMV CC-64 Vipera,,,IV,Vipera,,2000,400,36.00s,220,975,0.44,3.00s,0.10 / 0.25 / 0.10,-10° / +20°,30 / 12,18°/s,600,11.78,50.9t,1300,360
VK 45.02 (P) Ausf. B,,,VIII,VK 45.02 A,,2207,320,8.70s,212,950,0.35,2.00s,0.10 / 0.18 / 0.18,-8° / +15°,38 / 16,43°/s,920,16.23,56.7t,1750,390
T3 HMC,,,VIII,T1 HMC,,1167,175,9.00s,19,380,0.80,5.50s,0.48 / 0.50 / 0.50,-5° / +45°,34 / 12,20°/s,89,17.78,5t,160,250
Škoda T 17,,,II,T1 HMC,,2251,320,22.00s,248,1400,0.35,2.20s,0.10 / 0.18 / 0.18,-8° / +20°,50 / 20,58°/s,1070,28.08,38.1t,1700,400
LTG,,,IX,Škoda T 50,,1800,180,6.00s,144,950,0.40,2.30s,0.12 / 0.14 / 0.14,-5° / +25°,63 / 20,56°/s,650,25.97,25t,980,360
T-127,,,VII,T1,,1917,115,3.60s,128,792,0.43,2.00s,0.12 / 0.22 / 0.22,-10° / +30°,35 / 14,36°/s,900,15.42,58.4t,910,350
WZ-131G FT,,,V,WZ-120G FT,,2824,560,11.90s,271,930,0.38,2.80s,0.16 / 0.22 / 0.22,-6° / +15°,47 / 20,38°/s,520,14.44,36t,1700,390
T-26,,,IX,WZ-120G FT,,2000,240,7.20s,230,1021,0.36,2.10s,0.13 / 0.15 / 0.15,-10° / +20°,45 / 17,35°/s,704,15.26,46.1t,1500,390
LTTB,,,VIII,LTTB,,2118,180,5.10s,185,1050,0.35,2.00s,0.08 / 0.10 / 0.10,-5° / +15°,68 / 20,62°/s,770,34.37,22.4t,1200,380
Manticore,,,VIII,Manticore,,1671,390,14.00s,248,1100,0.38,1.90s,0.08 / 0.16 / 0.16,-8° / +8°,68 / 25,45°/s,530,43.80,12.1t,1600,400
VK 30.01 (D),,,VII,VK 30.02 D,,2063,220,6.40s,145,773,0.38,2.30s,0.14 / 0.20 / 0.20,-8° / +20°,60 / 20,60°/s,870,22.06,39.4t,1350,380
Wespe,,,VII,Wespe,,1230,410,20.00s,26,410,0.76,6.00s,0.48 / 0.40 / 0.40,-5° / +42°,40 / 10,24°/s,150,13.82,10.9t,230,250
M4A3E8 Fury,,,III,M4A3E2,,2091,115,3.30s,128,792,0.38,1.90s,0.12 / 0.24 / 0.24,-10° / +25°,35 / 15,32°/s,520,15.68,33.2t,850,370
AT 7,,,VI,AT 7,,2226,230,6.20s,226,1020,0.31,1.70s,0.10 / 0.30 / 0.30,-8° / +15°,20 / 10,30°/s,550,12.40,44.3t,1300,360
KV-1SA,,,VII,KV-1S,,2455,450,11.00s,61,515,0.48,2.90s,0.14 / 0.20 / 0.20,-5° / +20°,43 / 14,38°/s,660,15.04,43.9t,1150,340
M36 Jackson,,,VI,Jackson,,1800,240,8.00s,160,853,0.35,1.70s,0.14 / 0.23 / 0.23,-10° / +20°,42 / 12,42°/s,470,16.22,29t,660,370
T803,,,VI,T803,,2733,410,9.00s,262,1100,0.35,2.00s,0.06 / 0.14 / 0.14,-10° / +20°,37 / 12,30°/s,1030,17.25,59.7t,2350,400
Pz.Kpfw. V/IV Alpha,,,XI,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
Tetrarch,,,X,Pz.Kpfw. VII,,945,45,2.86s,64,792,0.40,2.29s,0.16 / 0.29 / 0.29,-10° / +25°,64 / 20,47°/s,180,25.55,7t,280,260
WZ-113G FT,,,II,Tetrarch,,2824,560,11.90s,271,930,0.38,2.80s,0.16 / 0.22 / 0.22,-6° / +15°,47 / 20,38°/s,520,14.44,36t,1700,390
M8A1,,,IX,WZ-120G FT,,1692,110,3.90s,115,781,0.39,1.70s,0.16 / 0.27 / 0.27,-10° / +20°,58 / 20,46°/s,380,23.22,16.4t,410,320
Ferdinand FL,,,IV,M8A1,,2513,490,11.70s,246,920,0.35,2.30s,0.08 / 0.20 / 0.20,-8° / +14°,30 / 10,33°/s,900,13.54,66.5t,1600,370
K-91-PT,,,X,K-91,,3368,320,5.70s,276,1700,0.33,1.70s,0.10 / 0.14 / 0.10,-9° / +20°,55 / 20,50°/s,860,19.24,44.7t,1950,410
Turtle Mk. I,,,X,Turtle I,,2912,330,6.80s,240,1050,0.36,1.90s,0.10 / 0.18 / 0.18,-10° / +20°,25 / 12,23°/s,800,13.40,59.7t,1400,370
Maus,,,X,Maus,,2211,490,13.30s,246,920,0.36,2.10s,0.05 / 0.20 / 0.20,-8° / +24°,20 / 15,15°/s,1950,10.33,188.7t,3000,400
M46 Patton KR,,,X,M48 Patton,,2802,390,8.35s,268,1478,0.35,1.80s,0.06 / 0.07 / 0.07,-9° / +19°,48 / 20,55°/s,960,20.25,47.4t,2000,420
Bishop,,,X,IS,,1902,390,12.30s,175,780,0.46,3.40s,0.16 / 0.21 / 0.21,-6° / +25°,34 / 14,42°/s,750,16.32,46t,1350,350
Vickers Medium Mk. II,,,VII,Vickers 3,,2925,390,8.00s,268,1540,0.27,2.00s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 25,50°/s,850,22.14,38.4t,1900,410
T28,,,X,T28,,2637,400,9.10s,248,945,0.38,2.10s,0.08 / 0.19 / 0.19,-5° / +20°,22 / 10,24°/s,780,13.07,59.7t,1600,360
Lorraine 50 t,,,X,E 50 M,,2543,390,9.20s,270,1500,0.30,2.10s,0.08 / 0.14 / 0.14,-8° / +20°,60 / 20,44°/s,1300,20.96,62t,2050,400
T54E1,,,X,E 50 M,,2783,320,6.90s,236,1120,0.35,2.10s,0.12 / 0.11 / 0.11,-6° / +20°,56 / 20,56°/s,750,21.63,34.7t,1800,390
BZ-166,,,IX,BZ-166,,1800,420,14.00s,221,1000,0.42,2.80s,0.14 / 0.20 / 0.20,-10° / +20°,30 / 13,28°/s,770,14.61,52.7t,1650,360
Panzer 58 FL,No data
A25 Harry Hopkins I,No data
Jagdtiger,,,IX,Jagdtiger,,2947,560,11.40s,276,1200,0.33,2.30s,0.08 / 0.18 / 0.18,-7.5° / +15°,38 / 12,30°/s,830,11.04,75.2t,2000,390
T30 FL,,,IX,Jagdtiger,,2143,750,21.00s,276,870,0.37,2.90s,0.22 / 0.22 / 0.22,-10° / +15°,35 / 12,25°/s,930,14.52,64.1t,1650,380
FV207,,,IX,T30,,1364,650,28.60s,38,480,0.65,4.00s,0.42 / 0.30 / 0.30,-1° / +50°,29 / 10,25°/s,750,12.55,59.8t,430,265
Object 140 CL,,,X,Obj. 140,,3238,340,6.30s,264,1535,0.35,1.90s,0.10 / 0.08 / 0.08,-7° / +17°,55 / 20,54°/s,700,19.61,35.7t,1950,400
WZ-111 model 6,,,X,Obj. 140,,2097,360,10.30s,227,1050,0.40,2.60s,0.12 / 0.20 / 0.20,-8° / +23°,40 / 15,30°/s,620,13.57,45.7t,1450,390
ISU-152K,,,VIII,WZ-111 6,,2557,750,17.60s,260,850,0.38,3.10s,0.08 / 0.20 / 0.20,-6° / +18°,43 / 13,30°/s,780,15.95,48.9t,1250,350
Strv 107-12,,,VIII,ISU-152,,2557,390,6.70s,314,1500,0.29,3.00s,0.00 / 0.39 / 0.11,-1° / +0°,51 / 46,35°/s,850,19.91,42.7t,1950,360
Hotchkiss H35,,,IX,H3,,2500,400,28.00s,248,1045,0.33,2.20s,0.10 / 0.16 / 0.16,-7° / +12°,46 / 16,36°/s,1050,17.02,61.7t,1700,390
leKpz Borkenkäfer,,,IX,H3,,2475,330,8.00s,244,1200,0.33,1.40s,0.08 / 0.10 / 0.10,-12° / +18°,75 / 25,55°/s,900,45.69,19.7t,1900,420
BZT-70,,,XI,Borkenkäfer,,2429,850,21.00s,256,800,0.45,3.00s,0.15 / 0.23 / 0.23,-8° / +20°,28 / 10,20°/s,1200,11.46,104.7t,2300,380
Bretagne Panther,,,VII,JPanther,,2341,320,8.20s,208,950,0.34,1.70s,0.08 / 0.20 / 0.20,-8° / +14°,55 / 14,35°/s,760,16.61,45.8t,900,350
Panther,,,VII,JPanther II,,2513,490,11.70s,246,920,0.35,2.30s,0.08 / 0.18 / 0.18,-6.5° / +15°,55 / 12,38°/s,700,13.25,52.8t,1150,360
SU-26,,,VIII,JPanther II,,1543,180,7.00s,21,455,0.66,4.00s,0.22 / 0.24 / 0.24,-2° / +45°,30 / 8,26°/s,130,16.11,8.1t,195,260
Bat.-Châtillon 155 58,,,III,SU-26,,1700,680,52.00s,48,490,0.61,4.50s,0.45 / 0.50 / 0.50,-1° / +45°,62 / 14,18°/s,720,20.73,34.7t,490,280
M3 Light,,,X,B-C 155 58,,960,40,2.50s,48,765,0.46,1.90s,0.16 / 0.24 / 0.24,-10° / +25°,61 / 20,40°/s,268,22.78,11.8t,390,280
DZT-159,,,III,M3 Light,,2256,440,11.70s,260,1150,0.40,2.70s,0.08 / 0.20 / 0.20,-7° / +18°,40 / 15,40°/s,640,15.72,40.7t,1600,390
Sav m/43,,,IX,Sav m/43,,2143,350,9.80s,65,475,0.50,3.00s,0.22 / 0.22 / 0.22,-14° / +20°,45 / 20,38°/s,200,16.41,12.2t,430,310
G.W. Panther,,,IV,JPanther,,2341,320,8.20s,208,950,0.34,1.70s,0.08 / 0.20 / 0.20,-8° / +14°,55 / 14,35°/s,760,16.61,45.8t,900,350
T26E5 Patriot,,,VII,JPanther,,2000,240,7.20s,230,1021,0.36,2.10s,0.13 / 0.15 / 0.15,-10° / +20°,45 / 17,35°/s,704,15.26,46.1t,1500,390
FV4004 Conway,,,VIII,T26E5 P,,2500,600,14.40s,260,850,0.38,2.40s,0.14 / 0.27 / 0.27,-10° / +15°,50 / 20,44°/s,950,19.10,49.7t,1600,380
M4A3E8 Sherman,,,V,M4 Sherman,,2733,410,9.00s,53,472,0.55,2.50s,0.16 / 0.18 / 0.18,-12° / +25°,48 / 18,50°/s,500,16.20,30.9t,650,370
IT-3,,,V,IT-3,,1320,110,5.00s,68,612,0.45,2.40s,0.16 / 0.20 / 0.20,-8° / +25°,50 / 15,50°/s,370,22.09,16.8t,560,320
WZ-114,,,IV,IT-3,,1950,390,12.00s,196,800,0.39,2.60s,0.10 / 0.20 / 0.20,-5° / +23°,50 / 15,26°/s,670,15.15,44.2t,1550,380
M3G FT,,,VIII,M3G FT,,1380,115,5.00s,85,700,0.38,1.90s,0.12 / 0.22 / 0.22,-5° / +15°,55 / 12,40°/s,310,23.40,13.3t,285,310
HWK 30,,,III,HWK 30,,2000,240,7.20s,187,1080,0.36,2.10s,0.10 / 0.12 / 0.12,-10° / +18°,70 / 24,50°/s,800,28.88,27.7t,1150,410
T-54 FL,,,IX,T-54,,2783,320,6.90s,236,1120,0.35,2.10s,0.12 / 0.11 / 0.11,-6° / +20°,56 / 20,56°/s,750,21.63,34.7t,1800,390
AMX Canon d'assaut 105,No data
CS-52 C,,,VIII,CS-52 C,,2222,300,8.10s,208,1109,0.39,2.50s,0.14 / 0.12 / 0.12,-7° / +17°,55 / 17,44°/s,710,17.88,39.7t,1350,380
WZ-113-II,,,VIII,113,,2640,440,10.00s,249,950,0.37,2.80s,0.08 / 0.18 / 0.18,-7° / +18°,50 / 15,36°/s,750,16.78,44.7t,2300,400
T-62A,,,X,113,,2909,320,6.60s,264,1535,0.34,2.00s,0.08 / 0.10 / 0.10,-5° / +17°,50 / 20,56°/s,580,15.80,36.7t,1950,400
Tiger II FL,,,X,Tiger I,,2154,280,7.80s,203,1000,0.34,2.50s,0.12 / 0.20 / 0.20,-7° / +13°,40 / 12,29°/s,760,13.26,57.3t,1550,380
M-IV-Y,,,VII,Tiger I,,1912,360,11.30s,220,1000,0.40,2.50s,0.10 / 0.20 / 0.20,-10° / +20°,45 / 18,35°/s,850,18.20,46.7t,1500,380
Gryphon,,,VIII,Gryphon,,2930,420,8.60s,263,1020,0.36,2.30s,0.10 / 0.16 / 0.16,-10° / +20°,43 / 15,32°/s,800,16.43,48.7t,2100,400
